title,author,isbn,publisher,chapter_number,chapter_title,section_number,content,reference
웨스트민스터 신앙고백서,웨스트민스터 총회,,영음사,1,성경,1,"본성의 빛과 창조와 섭리의 일들은 사람이 핑계할 수 없을 정도로 하나님의 선하심과 지혜와 능력을 너무나도 명백하게 나타내고 있다.1) 그럼 에도 이것들은 하나님과 그분의 뜻에 관하여 구원에 필요한 지식을 줄 정도 로 충분하지는 않다.2) 그래서 주님께서 여러 시대에 여러 모양으로 자신의 교회에 자신을 계시하고 자신의 뜻을 선포하기를 기뻐하셨다.3) 그리고 후에 는 진리를 더 잘 보존하고 전파하며, 육신의 부패 및 사탄과 세상의 악의에 맞서 교회를 더욱 견고하게 세우고 위로하기 위하여 바로 그 모든 것을 기록 하기를 기뻐하셨다.4) 이로 인하여 성경은 반드시 필요하게 되었다.5) 그리고 하나님께서 자신의 뜻을 자기 백성에게 계시하시던 이전 방식들은 이제 중 지되었다.6)","1) 롬 2:14~15; 1:19~20; 시 19:1~3; 롬 1:32; 2:1. 2) 고전 1:21; 2:13~14. 3) 히 1:1. 4) 잠 22:19~21; 눅 1:3~4; 롬 15:4; 마 4:4, 7, 10; 사 8:19~20. 5) 딤후 3:15; 벧후 1:19. 6) 히 1:1~2."
웨스트민스터 신앙고백서,웨스트민스터 총회,,영음사,1,성경,2,"성경 즉 기록된 하나님의 말씀이라는 이름 아래 포함된 것은 현재 구약과 신약의 모든 책이다. 이 책들은 다음과 같다. 구약: 창세기, 출애굽기, 레위기, 민수기, 신명기, 여호수아, 사사기, 룻기, 사무엘상, 사무엘하, 열왕기상, 열왕기하, 역대상, 역대하, 에스라, 느헤미야, 에스더, 욥기, 시편, 잠언, 전도서, 아가, 이사야, 예레미야, 예레미야애가, 에스겔, 다니엘, 호세아, 요엘, 아모스, 오바댜, 요나, 미가, 나훔, 하박국, 스바냐, 학개, 스가랴, 말라기. 신약: 마태복음, 마가복음, 누가복음, 요한복음, 사도행전, 로마서, 고린도전서, 고린도후서, 갈라디아서, 에베소서, 빌립보서, 골로새서, 데살로니가전서, 데살로니가후서, 디모데전서, 디모데후서, 디도서, 빌레몬서, 히브리서, 야고보서, 베드로전서, 베드로후서, 요한일서, 요한이서, 요한삼서, 유다서, 요한계시록. 이 모든 책은 하나님의 영감에 의하여 믿음과 생활의 규범으로 주어졌다.1)","1) 눅 16:29, 31; 엡 2:20; 계 22:18~19; 딤후 3:16."
웨스트민스터 신앙고백서,웨스트민스터 총회,,영음사,1,성경,3,"보통 외경이라 불리는 책들은 하나님의 영감으로 된 것이 아니므로 정경인 성경의 일부가 전혀 아니다. 따라서 이것들은 하나님의 교회에서 어떤 권위도 가지지 못하며, 단지 사람들이 쓴 다른 글과 같은 것일 뿐이며, 이와 다르게 인정을 받아서도 안 되며 사용되어서도 안 된다.1)","1) 눅 24:27, 44; 롬 3:2; 벧후 1:21."
웨스트민스터 신앙고백서,웨스트민스터 총회,,영음사,1,성경,4,성경의 권위는 우리가 성경을 믿고 순종해야 하는 이유이다. 이 성경의 권위는 어떤 사람이나 교회의 증언에 의존하는 것이 아니며 (진리 자체이자) 성경의 저자이신 하나님께만 전적으로 의존한다. 그러므로 우리는 성경을 받아들여야 한다. 왜냐하면 성경은 하나님의 말씀이기 때문이다.1),"1) 벧후 1:19, 21; 딤후 3:16; 요일 5:9; 살전 2:13."
웨스트민스터 신앙고백서,웨스트민스터 총회,,영음사,1,성경,5,"우리는 교회의 증언에 의해 감동되고 이끌리어 성경을 높이 여기고 경외심으로 대할 수 있다.1) 그리고 하늘에 속한 내용, 교훈의 감화력, 문체의 장엄함, 모든 부분의 조화로움, (모든 영광을 하나님께 돌리는) 전체 목적, 사람을 구원하는 유일한 길을 충분히 보여줌, 그 밖의 비교할 수 없는 많은 탁월함, 그리고 전체의 완전함 등은 성경 스스로가 하나님의 말씀임을 풍성하게 증언하는 논거들이다. 그럼에도 성경이 무오한 진리이며 신적 권위를 가지고 있음을 완전하게 인정하고 확신하는 것은 우리 마음속에 말씀에 의하여 또한 말씀과 함께 증언하시는 성령 하나님의 내적 사역으로 말미암는다.2)","1) 딤전 3:15. 2) 요일 2:20, 27; 요 16:13~14; 고전 2:10~12; 사 59:21."
웨스트민스터 신앙고백서,웨스트민스터 총회,,영음사,1,성경,6,"하나님 자신의 영광, 사람의 구원, 믿음, 그리고 생활에 필요한 모든 것과 관련한 하나님의 전체 경륜은 성경에 분명하게 기록되어 있거나, 또한 적절하고 필연적인 논리적 귀결에 의하여 성경으로부터 추론될 수 있다. 그러나 성령의 새로운 계시에 의해서든지, 사람의 전통에 의해서든지, 어떤 것이라도 어느 때이건 성경에 추가되어서는 안 된다.1) 그럼에도 말씀에 계시된 일들을 구원에 이르도록 이해하기 위해서는 성령 하나님의 내적 조명이 필요함을 인정한다.2) 그리고 하나님을 예배하는 것과 교회 정치에 관해서는, 사람의 활동이나 사회 공동체들과 공통되는 상황들이 일부 있는데, 이 상황들은 본성의 빛과 기독교적 분별에 의해서 정해야 함을 인정한다. 그런데 이것들은 항상 지켜야 하는 말씀의 일반 규범을 따라야 한다.3)","1) 딤후 3:15~17; 갈 1:8~9; 살후 2:2. 2) 요 6:45; 고전 2:9~12. 3) 고전 11:13~14; 14:26, 40."
웨스트민스터 신앙고백서,웨스트민스터 총회,,영음사,1,성경,7,"성경에 있는 모든 내용은 그 자체로 똑같이 명백한 것은 아니며, 또한 모든 사람에게 똑같이 분명한 것도 아니다.1) 그렇지만 구원받기 위하여 알고 믿고 지켜야 할 필요가 있는 것들은, 학식이 있는 사람뿐만 아니라 그렇지 않은 사람도 보통의 수단을 적절히 사용하면 충분히 이해할 정도로, 성경 곳곳에 분명하게 제시되어 있고 밝혀져 있다.2)","1) 벧후 3:16. 2) 시 119:105, 130."
웨스트민스터 신앙고백서,웨스트민스터 총회,,영음사,1,성경,8,"(하나님의 옛 백성의 모국어인) 히브리어로 기록된 구약성경과 (신약성경이 기록되던 당시 여러 나라에 가장 일반적으로 알려진) 그리스어로 기록된 신약성경은, 하나님에 의해 직접 영감된 것이며, 하나님의 유례없는 보호와 섭리에 의해 모든 시대에 걸쳐 순수하게 보전되었으므로 본래 내용 그대로다.1) 그러므로 신앙과 관련한 모든 논쟁에 있어서 교회는 궁극적으로 원어 성경에 호소해야 한다.2) 그러나 성경에 대한 권리와 관심을 가지고, 하나님을 경외하는 가운데 성경을 읽고 연구하도록 명령을 받은 하나님의 백성 모두가 원어를 알지는 못하기 때문에,3) 성경이 전수된 각 나라의 통상적인 언어로 번역되어야만 하며,4) 그리하여 하나님의 말씀이 모든 사람 안에 풍성히 거하여, 이들이 하나님을 합당한 방식으로 예배하며,5) 성경이 주는 인내와 위로를 통하여 소망을 가질 수 있도록 하여야 한다.6)","1) 마 5:18. 2) 사 8:20; 행 15:15; 요 5:39, 46. 3) 요 5:39. 4) 고전 14:6, 9, 11~12, 24, 27~28. 5) 골 3:16. 6) 롬 15:4."
웨스트민스터 신앙고백서,웨스트민스터 총회,,영음사,1,성경,9,"성경 해석의 무오한 규칙은 성경 자체이다. 그러므로 어떤 성경이든지 참되며 완전한 의미에 대해 의문이 있을 때는 (그 의미는 여러 가지가 아니라 단지 하나뿐인데), 더 분명하게 말씀하고 있는 다른 곳들을 연구하여 알아낼 수 있다.1)",1) 벧후 1:20~21; 행 15:15~16.
웨스트민스터 신앙고백서,웨스트민스터 총회,,영음사,1,성경,10,"신앙과 관련한 모든 논쟁은 최고의 재판관에 의하여 결정되어야 하며, 또 교회 회의들의 모든 결정, 고대 저자들의 견해, 사람들의 가르침, 사사로운 사상은 최고의 재판관에 의해 검토되어야 한다. 우리가 따라야 할 판단을 내리시는 그 최고의 재판관은 성경에서 말씀하시는 성령 하나님 이외에 다른 어떤 것일 수 없다.1)","1) 마 22:29, 31; 엡 2:20; 행 28:25."
